"country","avg_prem","n_years","country_name"
"ISL",111.607709927548,5,"Iceland"
"ITA",115.474462552646,6,"Italy"
"CHE",115.880129625522,6,"Switzerland"
"SWE",118.397036319789,6,"Sweden"
"JPN",123.748368902791,6,"Japan"
"ISR",125.665913222049,6,"Israel"
"ESP",128.257312072815,6,"Spain"
"AUS",128.576885141784,6,"Australia"
"NOR",129.496531491715,6,"Norway"
"NLD",133.311034851983,6,"Netherlands"
"IRL",142.38382751728,6,"Ireland"
"LUX",144.202902353372,6,"Luxembourg"
"NZL_NP",144.498386536604,5,"New Zealand"
"GBRCENW",145.955414044272,6,"England and Wales"
"GBRTENW",145.955414044272,6,"England and Wales"
"CAN",146.014068849252,3,"Canada"
"GBR_NP",150.386962264642,6,"United Kingdom"
"AUT",150.685130320045,6,"Austria"
"DEUTW",152.915470365441,6,"West Germany"
"GRC",154.399433452952,5,""
"DEUTNP",157.167513121506,6,"Germany"
"DNK",159.969095313511,6,"Denmark"
"FIN",160.803629400748,6,"Finland"
"PRT",161.118013509844,6,"Portugal"
"BEL",161.936315301302,6,"Belgium"
"FRACNP",161.938091581157,6,"France"
"FRATNP",161.938091581157,6,"France (Total Population)"
"GBR_NIR",166.428665717661,6,"Northern Ireland"
"SVN",167.782046048306,6,"Slovenia"
"DEUTE",176.683679283153,6,"East Germany"
"GBR_SCO",190.209975213501,6,"Scotland"
"CZE",197.006176189354,6,"Czech Republic"
"TWN",201.585642333685,6,"Taiwan"
"HRV",211.105749455876,6,"Croatia"
"USA",220.042957027963,6,"The United States of America"
"SVK",252.757336790742,6,"Slovakia"
"POL",261.446534351864,6,"Poland"
"EST",271.009252254469,6,"Estonia"
"HUN",302.721396117129,6,"Hungary"
"BGR",315.858736187925,2,"Bulgaria"
"LVA",365.807008340245,6,"Latvia"
"LTU",378.824891898393,6,"Lithuania"
"BLR",434.974018467085,6,"Belarus"
"UKR",450.129624243289,5,"Ukraine"
"RUS",510.096034068542,6,"Russia"
